date,year,month,quarter,day_name
2025-02-27 01:33:10,2025,2,2025Q1,Thursday
2023-12-15 04:37:30,2023,12,2023Q4,Friday
2025-01-19 10:56:17,2025,1,2025Q1,Sunday
2022-01-21 18:01:15,2022,1,2022Q1,Friday
2024-12-14 02:38:44,2024,12,2024Q4,Saturday
2024-06-30 03:39:22,2024,6,2024Q2,Sunday
2024-11-26 06:22:06,2024,11,2024Q4,Tuesday
2025-01-14 06:53:57,2025,1,2025Q1,Tuesday
2025-08-11 10:35:08,2025,8,2025Q3,Monday
2023-11-12 12:28:10,2023,11,2023Q4,Sunday
2022-10-05 13:37:06,2022,10,2022Q4,Wednesday
2023-07-15 12:16:22,2023,7,2023Q3,Saturday
2023-10-19 13:19:21,2023,10,2023Q4,Thursday
2023-02-14 15:15:05,2023,2,2023Q1,Tuesday
2025-01-29 00:44:53,2025,1,2025Q1,Wednesday
2024-03-16 07:03:41,2024,3,2024Q1,Saturday
2023-09-29 19:20:20,2023,9,2023Q3,Friday
2025-02-03 21:28:34,2025,2,2025Q1,Monday
2024-01-23 22:43:30,2024,1,2024Q1,Tuesday
2024-08-09 09:12:50,2024,8,2024Q3,Friday
2022-01-14 18:19:06,2022,1,2022Q1,Friday
2023-05-03 05:05:53,2023,5,2023Q2,Wednesday
2022-04-24 23:35:00,2022,4,2022Q2,Sunday
2025-06-07 21:44:25,2025,6,2025Q2,Saturday
2024-12-25 07:14:58,2024,12,2024Q4,Wednesday
2023-07-09 20:27:21,2023,7,2023Q3,Sunday
2025-06-24 22:41:54,2025,6,2025Q2,Tuesday
2024-06-07 05:00:23,2024,6,2024Q2,Friday
2024-02-05 08:03:52,2024,2,2024Q1,Monday
2025-05-28 09:39:13,2025,5,2025Q2,Wednesday
2023-01-29 13:43:41,2023,1,2023Q1,Sunday
2023-09-29 07:43:44,2023,9,2023Q3,Friday
2022-03-16 20:46:47,2022,3,2022Q1,Wednesday
2022-04-14 09:02:49,2022,4,2022Q2,Thursday
2023-05-21 19:39:53,2023,5,2023Q2,Sunday
2023-05-01 06:18:13,2023,5,2023Q2,Monday
2022-10-01 00:19:39,2022,10,2022Q4,Saturday
2023-05-26 07:32:28,2023,5,2023Q2,Friday
2024-10-03 13:30:32,2024,10,2024Q4,Thursday
2024-12-28 15:59:40,2024,12,2024Q4,Saturday
2022-01-11 21:52:16,2022,1,2022Q1,Tuesday
2024-03-05 01:19:42,2024,3,2024Q1,Tuesday
2023-03-20 11:10:10,2023,3,2023Q1,Monday
2023-02-24 06:53:21,2023,2,2023Q1,Friday
2024-02-20 15:51:04,2024,2,2024Q1,Tuesday
2022-04-06 00:15:34,2022,4,2022Q2,Wednesday
2023-06-11 13:45:34,2023,6,2023Q2,Sunday
2022-12-09 17:07:11,2022,12,2022Q4,Friday
2025-02-09 23:33:06,2025,2,2025Q1,Sunday
2022-11-04 15:58:56,2022,11,2022Q4,Friday
2023-06-20 09:16:33,2023,6,2023Q2,Tuesday
2022-02-23 03:28:21,2022,2,2022Q1,Wednesday
2023-11-24 20:18:45,2023,11,2023Q4,Friday
2022-10-05 16:33:51,2022,10,2022Q4,Wednesday
2025-06-11 22:21:16,2025,6,2025Q2,Wednesday
2022-07-17 11:42:27,2022,7,2022Q3,Sunday
2022-09-17 18:40:51,2022,9,2022Q3,Saturday
2022-06-11 00:30:05,2022,6,2022Q2,Saturday
2022-06-28 14:09:20,2022,6,2022Q2,Tuesday
2022-08-19 21:04:52,2022,8,2022Q3,Friday
2024-09-29 01:56:23,2024,9,2024Q3,Sunday
2024-01-21 07:41:34,2024,1,2024Q1,Sunday
2023-07-23 07:22:45,2023,7,2023Q3,Sunday
2023-03-29 14:04:04,2023,3,2023Q1,Wednesday
2022-02-28 23:31:28,2022,2,2022Q1,Monday
2025-03-30 04:14:30,2025,3,2025Q1,Sunday
2023-11-16 04:40:42,2023,11,2023Q4,Thursday
2024-05-16 23:19:32,2024,5,2024Q2,Thursday
2022-03-10 12:41:02,2022,3,2022Q1,Thursday
2025-04-12 18:47:43,2025,4,2025Q2,Saturday
2022-12-23 07:51:57,2022,12,2022Q4,Friday
2025-08-04 13:54:32,2025,8,2025Q3,Monday
2025-05-14 23:39:55,2025,5,2025Q2,Wednesday
2024-06-03 18:38:58,2024,6,2024Q2,Monday
2024-11-22 06:12:32,2024,11,2024Q4,Friday
2023-03-29 21:57:08,2023,3,2023Q1,Wednesday
2024-08-10 13:01:55,2024,8,2024Q3,Saturday
2025-04-01 19:04:37,2025,4,2025Q2,Tuesday
2022-08-21 08:45:02,2022,8,2022Q3,Sunday
2022-04-21 22:35:11,2022,4,2022Q2,Thursday
2023-05-01 01:41:11,2023,5,2023Q2,Monday
2023-12-27 18:44:11,2023,12,2023Q4,Wednesday
2022-03-11 22:23:41,2022,3,2022Q1,Friday
2023-05-18 05:43:11,2023,5,2023Q2,Thursday
2023-09-22 09:34:58,2023,9,2023Q3,Friday
2024-09-26 10:12:40,2024,9,2024Q3,Thursday
2025-01-26 10:25:30,2025,1,2025Q1,Sunday
2024-12-15 21:10:50,2024,12,2024Q4,Sunday
2022-11-18 13:57:42,2022,11,2022Q4,Friday
2023-10-21 00:21:28,2023,10,2023Q4,Saturday
2025-03-02 04:11:54,2025,3,2025Q1,Sunday
2023-02-04 08:47:02,2023,2,2023Q1,Saturday
2024-04-25 02:21:00,2024,4,2024Q2,Thursday
2025-03-28 11:21:42,2025,3,2025Q1,Friday
2022-12-08 07:45:50,2022,12,2022Q4,Thursday
2023-02-21 18:39:08,2023,2,2023Q1,Tuesday
2024-10-05 20:30:44,2024,10,2024Q4,Saturday
2025-02-24 16:27:47,2025,2,2025Q1,Monday
2023-11-30 03:55:22,2023,11,2023Q4,Thursday
2023-01-25 07:24:08,2023,1,2023Q1,Wednesday
2023-03-06 11:26:11,2023,3,2023Q1,Monday
2024-03-18 19:26:00,2024,3,2024Q1,Monday
2024-02-06 10:43:48,2024,2,2024Q1,Tuesday
2025-04-09 10:02:16,2025,4,2025Q2,Wednesday
2024-05-27 23:29:47,2024,5,2024Q2,Monday
2024-08-27 10:11:30,2024,8,2024Q3,Tuesday
2023-06-08 15:36:43,2023,6,2023Q2,Thursday
2024-02-11 03:41:48,2024,2,2024Q1,Sunday
2025-02-12 11:53:39,2025,2,2025Q1,Wednesday
2024-04-06 00:00:55,2024,4,2024Q2,Saturday
2022-02-18 08:05:38,2022,2,2022Q1,Friday
2023-01-16 01:04:49,2023,1,2023Q1,Monday
2024-05-11 22:46:03,2024,5,2024Q2,Saturday
2023-02-12 15:44:45,2023,2,2023Q1,Sunday
2022-05-13 18:37:57,2022,5,2022Q2,Friday
2025-05-08 11:30:58,2025,5,2025Q2,Thursday
2025-06-23 08:20:47,2025,6,2025Q2,Monday
2023-04-28 11:58:48,2023,4,2023Q2,Friday
2022-07-12 10:40:47,2022,7,2022Q3,Tuesday
2023-12-07 06:38:17,2023,12,2023Q4,Thursday
2023-06-03 09:06:13,2023,6,2023Q2,Saturday
2022-01-15 03:25:24,2022,1,2022Q1,Saturday
2023-08-13 08:57:14,2023,8,2023Q3,Sunday
2024-07-28 10:18:09,2024,7,2024Q3,Sunday
2022-06-06 01:48:34,2022,6,2022Q2,Monday
2023-11-29 14:49:56,2023,11,2023Q4,Wednesday
2024-09-06 18:33:13,2024,9,2024Q3,Friday
2022-11-07 10:28:42,2022,11,2022Q4,Monday
2023-03-28 08:58:27,2023,3,2023Q1,Tuesday
2022-06-14 10:47:46,2022,6,2022Q2,Tuesday
2025-03-05 04:34:34,2025,3,2025Q1,Wednesday
2022-09-09 20:58:00,2022,9,2022Q3,Friday
2023-07-06 14:49:56,2023,7,2023Q3,Thursday
2022-05-17 12:41:35,2022,5,2022Q2,Tuesday
2024-08-31 21:02:59,2024,8,2024Q3,Saturday
2023-09-29 01:56:59,2023,9,2023Q3,Friday
2022-08-05 17:09:03,2022,8,2022Q3,Friday
2025-01-15 01:41:45,2025,1,2025Q1,Wednesday
2024-06-24 08:48:03,2024,6,2024Q2,Monday
2024-04-24 10:52:20,2024,4,2024Q2,Wednesday
2024-07-06 19:55:28,2024,7,2024Q3,Saturday
2024-01-15 09:07:54,2024,1,2024Q1,Monday
2024-09-26 23:56:51,2024,9,2024Q3,Thursday
2023-05-12 05:22:30,2023,5,2023Q2,Friday
2023-11-27 12:16:55,2023,11,2023Q4,Monday
2025-04-12 16:47:24,2025,4,2025Q2,Saturday
2023-08-08 23:26:09,2023,8,2023Q3,Tuesday
2022-04-27 04:46:19,2022,4,2022Q2,Wednesday
2022-11-13 17:32:24,2022,11,2022Q4,Sunday
2023-05-10 08:28:46,2023,5,2023Q2,Wednesday
2023-05-11 07:19:44,2023,5,2023Q2,Thursday
2022-09-22 13:56:15,2022,9,2022Q3,Thursday
2025-06-11 15:48:46,2025,6,2025Q2,Wednesday
2024-08-17 17:10:40,2024,8,2024Q3,Saturday
2022-01-14 12:11:02,2022,1,2022Q1,Friday
2022-11-28 06:30:33,2022,11,2022Q4,Monday
2022-08-20 03:15:17,2022,8,2022Q3,Saturday
2025-07-20 17:44:58,2025,7,2025Q3,Sunday
2023-03-16 21:16:58,2023,3,2023Q1,Thursday
2024-07-08 18:51:25,2024,7,2024Q3,Monday
2022-08-30 05:51:00,2022,8,2022Q3,Tuesday
2023-09-17 11:57:56,2023,9,2023Q3,Sunday
2022-02-05 17:37:01,2022,2,2022Q1,Saturday
2024-11-07 10:26:29,2024,11,2024Q4,Thursday
2023-07-21 02:58:08,2023,7,2023Q3,Friday
2023-01-14 05:22:05,2023,1,2023Q1,Saturday
2023-09-28 08:55:47,2023,9,2023Q3,Thursday
2024-04-12 18:17:50,2024,4,2024Q2,Friday
2022-09-23 07:46:18,2022,9,2022Q3,Friday
2024-06-10 08:41:03,2024,6,2024Q2,Monday
2024-07-06 07:56:38,2024,7,2024Q3,Saturday
2022-12-15 11:25:04,2022,12,2022Q4,Thursday
2025-06-20 02:44:49,2025,6,2025Q2,Friday
2022-06-14 05:23:07,2022,6,2022Q2,Tuesday
2022-06-10 09:51:55,2022,6,2022Q2,Friday
2025-05-30 14:08:23,2025,5,2025Q2,Friday
2025-01-31 02:53:53,2025,1,2025Q1,Friday
2022-01-10 06:48:27,2022,1,2022Q1,Monday
2022-07-05 13:06:34,2022,7,2022Q3,Tuesday
2023-12-04 22:26:07,2023,12,2023Q4,Monday
2025-04-01 19:24:56,2025,4,2025Q2,Tuesday
2022-06-05 10:54:10,2022,6,2022Q2,Sunday
2024-12-14 09:42:59,2024,12,2024Q4,Saturday
2023-05-05 22:17:26,2023,5,2023Q2,Friday
2022-05-17 21:10:52,2022,5,2022Q2,Tuesday
2024-09-27 01:51:06,2024,9,2024Q3,Friday
2024-08-28 08:26:27,2024,8,2024Q3,Wednesday
2023-11-16 15:40:44,2023,11,2023Q4,Thursday
2023-02-15 07:54:14,2023,2,2023Q1,Wednesday
2024-07-16 17:11:51,2024,7,2024Q3,Tuesday
2022-05-02 19:00:42,2022,5,2022Q2,Monday
2024-10-27 11:23:43,2024,10,2024Q4,Sunday
2024-02-29 03:23:19,2024,2,2024Q1,Thursday
2024-08-07 07:46:51,2024,8,2024Q3,Wednesday
2023-08-02 15:01:41,2023,8,2023Q3,Wednesday
2022-03-17 08:34:02,2022,3,2022Q1,Thursday
2025-04-24 01:41:04,2025,4,2025Q2,Thursday
2023-04-06 21:49:29,2023,4,2023Q2,Thursday
2024-08-17 10:16:26,2024,8,2024Q3,Saturday
2022-06-19 17:58:07,2022,6,2022Q2,Sunday
2022-08-18 02:14:13,2022,8,2022Q3,Thursday
2024-11-17 21:31:44,2024,11,2024Q4,Sunday
2023-07-24 10:50:28,2023,7,2023Q3,Monday
2024-02-12 01:30:09,2024,2,2024Q1,Monday
2023-08-29 10:27:12,2023,8,2023Q3,Tuesday
2025-04-21 09:15:21,2025,4,2025Q2,Monday
2023-04-25 02:13:15,2023,4,2023Q2,Tuesday
2024-04-07 01:07:46,2024,4,2024Q2,Sunday
2022-02-14 01:31:08,2022,2,2022Q1,Monday
2024-09-06 18:14:41,2024,9,2024Q3,Friday
2024-07-04 19:24:10,2024,7,2024Q3,Thursday
2023-05-21 07:04:20,2023,5,2023Q2,Sunday
2023-10-11 06:26:26,2023,10,2023Q4,Wednesday
2025-07-10 07:35:01,2025,7,2025Q3,Thursday
2022-05-15 06:56:02,2022,5,2022Q2,Sunday
2022-12-19 01:57:08,2022,12,2022Q4,Monday
2024-12-09 17:14:26,2024,12,2024Q4,Monday
2024-01-21 09:33:25,2024,1,2024Q1,Sunday
2022-12-21 03:29:23,2022,12,2022Q4,Wednesday
